,state,county,area,num_zc_in_area,zipcode,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,persons_tested_final,testing_rate_final,adj_testing_rate_final,population,acs_zipcode_pop,white_pop,black_pop,hispanic_pop,poverty,percent_income_spent_on_rent,acs_zipcode_employed_pop,commuters_by_public_transportation,employed_education_health_social,employed_arts_entertainment_recreation_accommodation_food,employed_transportation_warehousing_utilities
149,California,Los Angeles County,Los Angeles - Sylmar,1,91340,560,560,695.41,23,27.91,35.75,864,1048.57,1062.01,82398,66357,7228.5,1868,53782.5,9204.5,37.6,30849.5,1171,6207,2502,1883
150,California,Los Angeles County,Los Angeles - Tarzana,1,91356,99,99,289.06,4,12.96,8.44,393,1272.83,1187.75,30876,30804,20700,1595,5046,3183,40.1,15422,700,2856,1555,530
151,California,Los Angeles County,Los Angeles - Temple-Beaudry,1,90026,225,225,549.43,9,22.8,26.64,330,835.82,782.91,39482,69589,18118,2351,36452,13614,31,39166,5221,6800,6541,1550
152,California,Los Angeles County,Los Angeles - Thai Town,1,90027,24,24,189.89,0,0,0,84,856.36,773.74,9809,44686,26782,1023,9455,6196,31,27204,2662,4876,4645,823
153,California,Los Angeles County,Los Angeles - Toluca Lake,1,91602,16,16,152.73,0,0,0,105,1206.34,1142.62,8704,19358,12489,1285,2962,1743,32,12424,516,1932,2367,223
154,California,Los Angeles County,Los Angeles - Toluca Terrace,1,91601,3,3,271.44,0,0,0,10,765.7,827.91,1306,37085,17648,2560,13399,7160,36.2,22399,1696,3791,4182,750
,California,Los Angeles County,Los Angeles - Toluca Woods,1,91602,3,3,118.29,0,0,0,26,1399.35,1123.35,1858,25019,14585.5,1071,5361.5,2337.5,31.55,14533,592,2424.5,2365,314.5
157,California,Los Angeles County,Los Angeles - Tujunga,1,91042,96,96,306.14,8,28.77,23.68,252,906.15,836.77,27810,26631,16388,567,6954,4091,44.6,13036,353,3162,1066,583
158,California,Los Angeles County,Los Angeles - University Hills,1,90032,9,9,242.1,1,29.16,19.36,26,758.24,813.31,3429,47627,3512,627,37852,9378,35.1,22077,1862,5261,2774,1186
159,California,Los Angeles County,Los Angeles - University Park,1,90007,120,120,614.82,1,3.64,3.34,167,608.25,779.25,27456,41716,6506,4418,20987,15815,43.8,17181,2728,5351,1973,852
,California,Los Angeles County,Los Angeles - Valley Glen,1,91405,105,105,328.81,2,6.66,6.42,280,932.84,882.32,30016,43036.25,16523,1854.5,20887.25,7777.75,37.525,22155,1722.5,4146.75,3002.75,942.75
164,California,Los Angeles County,Los Angeles - Valley Village,1,91607,174,174,640.38,6,24.27,20.63,308,1245.95,1166.26,24720,30873,19048,1494,7198,3266,35.8,17109,844,3119,2296,456
,California,Los Angeles County,Los Angeles - Van Nuys,1,91411,505,505,553.81,23,24.68,34.28,766,821.94,826.78,93194,44453,13741.5,2022,24108.75,8474,37.575,23153,1810.75,4220.75,3063,969.5
169,California,Los Angeles County,Los Angeles - Venice,1,90291,57,57,172.01,2,5.9,5.85,430,1269,1267.98,33885,27525,18749,1489,5235,2818,29.6,18000,549,2656,2556,234
170,California,Los Angeles County,Los Angeles - Vermont Knolls,1,90044,92,92,538.5,2,11.63,13.78,185,1075.58,1111.4,17200,96436,1134,31330,62443,30703,43.2,38484,4264,6590,4086,3992
171,California,Los Angeles County,Los Angeles - Vermont Square,1,90037,66,66,840.23,2,26.12,24.23,87,1136.22,1112.09,7657,65016,1189,11087,51067,22210,44.4,26648,4316,4224,3736,1772
,California,Los Angeles County,Los Angeles - Vermont Vista,1,90044,194,194,503.54,4,9.71,15.64,294,713.83,795.05,41186,62041,718.5,20005.5,40176,19210.5,44.05,25062.5,2504.5,4408.5,2661.5,2472.5
174,California,Los Angeles County,Los Angeles - Vernon Central,1,90058,348,348,702.41,7,13.46,21.49,329,632.72,718.56,51998,2758,73,159,2501,1420,36.3,929,152,170,105,76
175,California,Los Angeles County,Los Angeles - Victoria Park,1,90019,44,44,508.33,1,11.91,7.52,93,1107.27,1097.59,8399,66245,9632,12588,30746,11450,34,35567,4115,7017,5930,1080
176,California,Los Angeles County,Los Angeles - View Heights,1,90043,8,8,195.72,2,54.14,41.91,60,1624.26,1419.56,3694,44627,1912,26293,14331,8961,47.5,20152,1596,4999,1979,1478
,California,Los Angeles County,Los Angeles - Watts,1,90059,156,156,416.81,7,16.4,30.35,239,560.06,632.33,42674,49531.5,391.5,11761,36557,15631,42.5,18440,2052,2963.5,1963,1774
179,California,Los Angeles County,Los Angeles - Wellington Square,1,90016,16,16,299.24,0,0,0,55,1119.02,1077.95,4915,46581,4246,13937,24799,9659,38.5,22321,2112,4810,3265,1347
180,California,Los Angeles County,Los Angeles - West Adams,1,90016,157,157,558.26,14,50.67,54.56,305,1103.87,1083.01,27630,46581,4246,13937,24799,9659,38.5,22321,2112,4810,3265,1347
,California,"Ventura County, Los Angeles County",Los Angeles - West Hills,1,91307,84,84,186.91,4,9.87,5.15,360,887.9,875.12,40545,40178,17539,1981.5,13098.5,4125.5,35.15,20726,1032,4509,2305.5,651
183,California,Los Angeles County,Los Angeles - West Los Angeles,1,90025,65,65,158.25,2,5.31,4.45,468,1243.49,1140.55,37636,47967,25871,1812,7450,5491,30.4,30377,2071,6327,4252,651
184,California,Los Angeles County,Los Angeles - West Vernon,1,90062,305,305,573.34,12,22.37,27.24,457,851.91,888.75,53644,34422,532,10860,21811,7716,41.8,15923,1944,2803,2153,1359
185,California,Los Angeles County,Los Angeles - Westchester,1,90045,82,82,150.3,7,13.57,10.54,532,1030.95,967.73,51603,41149,20354,5102,7609,3475,31.9,22318,607,5902,2017,1122
186,California,Los Angeles County,Los Angeles - Westlake,1,90057,456,456,827.87,57,96.03,111.54,401,675.6,683.34,59355,49492,3087,1866,34393,15667,33.8,26242,10287,3126,3641,1068
187,California,Los Angeles County,Los Angeles - Westwood,1,90057,59,59,120.99,5,9.24,8.99,656,1212.37,1438.4,54109,49492,3087,1866,34393,15667,33.8,26242,10287,3126,3641,1068
188,California,Los Angeles County,Los Angeles - Wholesale District,1,90013,322,322,771.16,5,13.84,19.76,339,938.3,833.34,36129,11937,3509,3597,1860,5347,32.2,5399,1243,990,898,115
189,California,Los Angeles County,Los Angeles - Wilmington,1,90744,139,139,256.17,2,3.54,3.93,397,702.82,755.24,56487,57206,2332,1238,51389,12322,36.5,24990,1150,3526,2768,2533
,California,Los Angeles County,Los Angeles - Wilshire Center,1,90020,164,164,305.03,14,27.91,29.87,344,685.67,634.17,50170,35967.25,4804.5,1791,15891,7251.25,36.5,19917.5,4082.25,3049.75,3708,811.5
194,California,Los Angeles County,Los Angeles - Winnetka,1,91306,220,220,399.19,2,3.86,4.78,516,996.41,950.11,51786,49158,13421,1714,24214,6618,36,25246,1332,4893,3031,796
,California,Los Angeles County,Los Angeles - Woodland Hills,1,91367,134,134,172.1,10,14.69,9.98,854,1254.87,1109.34,68055,32577.25,18872.25,1280,7699.75,3533.5,36.55,16571.25,505.75,3307,1584,478
