City_Name,Zipcode,Positive_Cases,Total_Tested,black_population,commuters_by_public_transportation,county,employed_arts_entertainment_recreation_accommodation_food,employed_education_health_social,employed_pop,employed_transportation_warehousing_utilities,geo_id,hispanic_pop,percent_income_spent_on_rent,poverty,total_pop,white_pop,Tests_per_1000people,Positives_per_1000people
New York,11433,851,1957,22628,7687,"Bronx County, Kings County, New York County, Queens County, Richmond County",1688,4571,15739,1954,11433,6893,34.6,6206,36489,600,53.63260161,23.32209707
New York,11356,505,1214,355,3259,"Bronx County, Kings County, New York County, Queens County, Richmond County",1083,2011,10808,1014,11356,9417,38.6,2856,23362,6189,51.96472905,21.61629997
New York,10457,1896,4641,21964,17778,"Bronx County, Kings County, New York County, Queens County, Richmond County",3792,8236,27939,2163,10457,49630,40.6,27750,74554,1052,62.25018108,25.43123105
New York,11219,2621,7272,815,12862,"Bronx County, Kings County, New York County, Queens County, Richmond County",4655,9386,33221,1585,11219,10913,48.6,31731,90036,55723,80.76769292,29.11057799
New York,11367,942,2442,3075,7447,"Bronx County, Kings County, New York County, Queens County, Richmond County",1812,6259,18523,1167,11367,7466,33.1,5806,41824,19408,58.38752869,22.52295333
New York,10459,1372,3100,13962,11696,"Bronx County, Kings County, New York County, Queens County, Richmond County",2501,5955,18237,1191,10459,32830,37.1,16462,48351,791,64.11449608,28.37583504
New York,10128,587,2430,1766,22924,"Bronx County, Kings County, New York County, Queens County, Richmond County",2055,8429,35808,850,10128,7307,25.8,3686,59256,42129,41.00850547,9.906169839
New York,10019,547,1832,2331,12865,"Bronx County, Kings County, New York County, Queens County, Richmond County",3199,4351,28937,292,10019,7328,25.8,5342,43703,24786,41.91931904,12.51630323
New York,10021,513,2067,270,11493,"Bronx County, Kings County, New York County, Queens County, Richmond County",1600,6618,26342,165,10021,3664,26.8,2185,46215,36643,44.7257384,11.10029211
New York,10475,1604,4166,24539,10717,"Bronx County, Kings County, New York County, Queens County, Richmond County",1180,8203,19869,1058,10475,12542,26.8,4411,43208,3419,96.41733012,37.12275505
New York,11238,692,1887,19319,22691,"Bronx County, Kings County, New York County, Queens County, Richmond County",3099,7851,32374,963,11238,5947,26.8,7014,54540,23185,34.59845985,12.68793546
New York,11209,1045,3085,1833,19422,"Bronx County, Kings County, New York County, Queens County, Richmond County",3237,9230,34474,1562,11209,11441,28.8,8978,67809,43770,45.49543571,15.41093365
New York,11422,905,2083,26471,5463,"Bronx County, Kings County, New York County, Queens County, Richmond County",940,6308,16701,2064,11422,3070,29.8,2320,32082,1053,64.92737361,28.20896453
New York,11694,649,1596,1283,2239,"Bronx County, Kings County, New York County, Queens County, Richmond County",517,3471,9447,585,11694,3183,29.8,2009,21354,15589,74.74009553,30.39243233
New York,10033,1186,2868,2448,19958,"Bronx County, Kings County, New York County, Queens County, Richmond County",4652,8576,30019,1252,10033,40842,29.8,11496,59607,14090,48.11515426,19.89699196
New York,11205,654,2062,13586,12578,"Bronx County, Kings County, New York County, Queens County, Richmond County",2663,5163,21369,1206,11205,8153,30.8,12957,46064,19470,44.76380688,14.19763807
New York,11366,359,863,713,2510,"Bronx County, Kings County, New York County, Queens County, Richmond County",787,1760,6681,336,11366,1298,33.6,1742,14650,5707,58.90784983,24.50511945
New York,11228,589,1579,396,9496,"Bronx County, Kings County, New York County, Queens County, Richmond County",1998,5662,20576,1419,11228,5838,35.6,6165,44994,22126,35.09356803,13.09063431
New York,11420,1250,2856,11167,9589,"Bronx County, Kings County, New York County, Queens County, Richmond County",1788,5347,23670,3037,11420,11660,37.6,5825,48489,2367,58.89995669,25.77904267
New York,11354,1000,2232,1670,10442,"Bronx County, Kings County, New York County, Queens County, Richmond County",4212,5030,25230,1547,11354,8803,45.6,10670,55200,9060,40.43478261,18.11594203
