City_Name,Zipcode,Positive_Cases,Total_Tested,black_population,commuters_by_public_transportation,county,employed_arts_entertainment_recreation_accommodation_food,employed_education_health_social,employed_pop,employed_transportation_warehousing_utilities,geo_id,hispanic_pop,percent_income_spent_on_rent,poverty,total_pop,white_pop,Tests_per_1000people,Positives_per_1000people
New York,10013,234,887,1044,6955,"Bronx County, Kings County, New York County, Queens County, Richmond County",1594,2172,15686,289,10013,1728,24.9,3093,28709,15042,30.89623463,8.150754119
New York,10010,242,1171,1728,11437,"Bronx County, Kings County, New York County, Queens County, Richmond County",1183,4540,20602,293,10010,3703,25.9,3952,33730,21570,34.71686926,7.174621998
New York,11103,491,1379,684,15954,"Bronx County, Kings County, New York County, Queens County, Richmond County",3788,4393,22483,1106,11103,8204,28.9,4324,36140,20953,38.15716657,13.58605423
New York,10009,631,2105,4936,18573,"Bronx County, Kings County, New York County, Queens County, Richmond County",3109,6184,32075,905,10009,14347,28.9,13560,57925,29677,36.34009495,10.89339663
New York,11434,1871,4385,55870,13619,"Bronx County, Kings County, New York County, Queens County, Richmond County",2187,10926,30780,3837,11434,4955,28.9,7204,65791,1024,66.65045371,28.43854023
New York,11361,410,1129,982,4461,"Bronx County, Kings County, New York County, Queens County, Richmond County",1275,3554,13967,760,11361,3510,28.9,2343,27246,11384,41.4372752,15.04808045
New York,10027,912,2621,23723,17512,"Bronx County, Kings County, New York County, Queens County, Richmond County",2828,9884,27326,811,10027,16427,30.9,16555,64548,16194,40.60544091,14.12902026
New York,10002,931,2457,5249,17904,"Bronx County, Kings County, New York County, Queens County, Richmond County",5649,7630,33532,1408,10002,20390,30.9,20565,74993,16472,32.76305789,12.41449202
New York,10463,1751,4729,7980,18059,"Bronx County, Kings County, New York County, Queens County, Richmond County",4046,11291,33312,1345,10463,36472,31.9,11862,71360,22584,66.26961883,24.53755605
New York,11363,96,277,112,1224,"Bronx County, Kings County, New York County, Queens County, Richmond County",191,786,3488,214,11363,914,33.8,409,6952,3531,39.84464902,13.80897583
New York,11217,535,1481,7745,16401,"Bronx County, Kings County, New York County, Queens County, Richmond County",2226,5224,23164,472,11217,7671,24.1,5961,41407,21072,35.76689932,12.92052068
New York,10014,275,940,311,10796,"Bronx County, Kings County, New York County, Queens County, Richmond County",2287,2922,20523,212,10014,2047,25.1,1928,30738,25787,30.58103976,8.946580779
New York,10038,226,703,1558,6561,"Bronx County, Kings County, New York County, Queens County, Richmond County",1064,2013,12277,324,10038,3218,27.1,4125,22800,10249,30.83333333,9.912280702
New York,11222,402,1207,1345,15153,"Bronx County, Kings County, New York County, Queens County, Richmond County",2927,3568,23566,614,11222,5197,27.1,3850,36492,26794,33.07574263,11.01611312
New York,11360,293,904,149,2341,"Bronx County, Kings County, New York County, Queens County, Richmond County",497,2435,8998,403,11360,1918,27.1,1582,19621,10832,46.07308496,14.93297997
New York,10016,625,2425,1780,13710,"Bronx County, Kings County, New York County, Queens County, Richmond County",2018,5445,34555,341,10016,3543,28.1,4816,51057,33836,47.49593591,12.2412206
New York,10034,627,1903,2329,14644,"Bronx County, Kings County, New York County, Queens County, Richmond County",3581,5862,21864,980,10034,29925,29.1,8355,42910,8628,44.34863668,14.61197856
New York,11216,656,1937,30784,22563,"Bronx County, Kings County, New York County, Queens County, Richmond County",3394,8204,31847,1552,11216,6079,30.1,9737,56308,14656,34.40008525,11.65020956
New York,11413,1220,2721,38209,7534,"Bronx County, Kings County, New York County, Queens County, Richmond County",1506,7473,20836,2435,11413,2080,30.1,3329,42443,632,64.10951158,28.74443371
New York,11234,2095,4993,41699,18999,"Bronx County, Kings County, New York County, Queens County, Richmond County",3063,16431,44497,3819,11234,10023,31.1,7639,95666,35900,52.19200134,21.89910731
New York,11224,1033,2570,9636,9183,"Bronx County, Kings County, New York County, Queens County, Richmond County",1249,5610,16799,1533,11224,9516,32.2,12792,46707,23843,55.02387222,22.11659922
New York,11218,1548,3763,5637,20225,"Bronx County, Kings County, New York County, Queens County, Richmond County",3581,9915,33968,2188,11218,13089,32.2,14736,74508,39092,50.5046438,20.77629248
New York,11225,1068,2629,35980,22519,"Bronx County, Kings County, New York County, Queens County, Richmond County",2838,10293,31374,2128,11225,4913,32.2,10895,58882,14516,44.64861927,18.13797086
New York,11415,486,1208,967,5296,"Bronx County, Kings County, New York County, Queens County, Richmond County",876,2564,10344,918,11415,4833,32.2,2384,19372,9010,62.35804254,25.08775552
New York,10451,1478,3575,16912,12356,"Bronx County, Kings County, New York County, Queens County, Richmond County",2186,5940,18857,1722,10451,28236,34.2,16967,47798,1264,74.79392443,30.92179589
New York,10452,2100,5009,20567,20790,"Bronx County, Kings County, New York County, Queens County, Richmond County",4983,8832,30533,2214,10452,51823,40.2,28044,76078,1446,65.84032178,27.6032493
New York,10461,1760,4611,3862,10534,"Bronx County, Kings County, New York County, Queens County, Richmond County",3009,7661,23737,1784,10461,23466,32.7,7332,50348,16754,91.58258521,34.95670136
New York,10454,1036,2719,10753,9212,"Bronx County, Kings County, New York County, Queens County, Richmond County",2879,3261,13416,1020,10454,25956,34.7,17330,38203,888,71.17242101,27.11828914
