,ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location,state_name,county,total_pop,white_pop,black_pop,hispanic_pop,poverty,percent_income_spent_on_rent,employed_pop,commuters_by_public_transportation,employed_education_health_social,employed_arts_entertainment_recreation_accommodation_food,employed_transportation_warehousing_utilities
16,60621,18,04/26/2020,05/02/2020,54.0,321.0,150.0,893.9,242,1007,674,2804.1,0.2,0.3,9,24,25.1,66.8,35912,60621-18,POINT (-87.638812 41.776931),Illinois,"Cook County, DuPage County",29042.0,320.0,27378.0,1061.0,12390.0,42.1,8152.0,3237.0,1965.0,1164.0,1001.0
17,60621,14,03/29/2020,04/04/2020,45.0,74.0,125.0,206.1,121,248,337,690.6,0.4,0.3,3,4,8.4,11.1,35912,60621-14,POINT (-87.638812 41.776931),Illinois,"Cook County, DuPage County",29042.0,320.0,27378.0,1061.0,12390.0,42.1,8152.0,3237.0,1965.0,1164.0,1001.0
18,60621,10,03/01/2020,03/07/2020,,,,,0,0,0,0.0,,,0,0,0.0,0.0,35912,60621-10,POINT (-87.638812 41.776931),Illinois,"Cook County, DuPage County",29042.0,320.0,27378.0,1061.0,12390.0,42.1,8152.0,3237.0,1965.0,1164.0,1001.0
19,60621,15,04/05/2020,04/11/2020,64.0,138.0,178.0,384.3,129,377,359,1049.8,0.5,0.4,2,6,5.6,16.7,35912,60621-15,POINT (-87.638812 41.776931),Illinois,"Cook County, DuPage County",29042.0,320.0,27378.0,1061.0,12390.0,42.1,8152.0,3237.0,1965.0,1164.0,1001.0
20,60626,11,03/08/2020,03/14/2020,,,,,5,6,10,12.0,,,0,0,0.0,0.0,50139,60626-11,POINT (-87.669834 42.009469),Illinois,"Cook County, DuPage County",49730.0,22444.0,12304.0,10252.0,11505.0,32.2,27579.0,11157.0,7494.0,4730.0,1529.0
21,60626,19,05/03/2020,05/09/2020,98.0,678.0,196.0,1352.2,499,2176,995,4339.9,0.2,0.3,19,55,37.9,109.7,50139,60626-19,POINT (-87.669834 42.009469),Illinois,"Cook County, DuPage County",49730.0,22444.0,12304.0,10252.0,11505.0,32.2,27579.0,11157.0,7494.0,4730.0,1529.0
22,60626,15,04/05/2020,04/11/2020,81.0,154.0,162.0,307.1,186,541,371,1079.0,0.4,0.3,5,7,10.0,14.0,50139,60626-15,POINT (-87.669834 42.009469),Illinois,"Cook County, DuPage County",49730.0,22444.0,12304.0,10252.0,11505.0,32.2,27579.0,11157.0,7494.0,4730.0,1529.0
23,60626,10,03/01/2020,03/07/2020,,,,,1,1,2,2.0,,,0,0,0.0,0.0,50139,60626-10,POINT (-87.669834 42.009469),Illinois,"Cook County, DuPage County",49730.0,22444.0,12304.0,10252.0,11505.0,32.2,27579.0,11157.0,7494.0,4730.0,1529.0
24,60626,16,04/12/2020,04/18/2020,117.0,271.0,233.0,540.5,292,833,582,1661.4,0.4,0.3,10,17,19.9,33.9,50139,60626-16,POINT (-87.669834 42.009469),Illinois,"Cook County, DuPage County",49730.0,22444.0,12304.0,10252.0,11505.0,32.2,27579.0,11157.0,7494.0,4730.0,1529.0
25,60626,14,03/29/2020,04/04/2020,39.0,73.0,78.0,145.6,131,355,261,708.0,0.3,0.2,2,2,4.0,4.0,50139,60626-14,POINT (-87.669834 42.009469),Illinois,"Cook County, DuPage County",49730.0,22444.0,12304.0,10252.0,11505.0,32.2,27579.0,11157.0,7494.0,4730.0,1529.0
